Date,Name,Year,Letterboxd URI,Rating
2023-03-13,Star Wars,1977,https://boxd.it/72s,4.5
2023-03-13,Whiplash,2014,https://boxd.it/7bQA,4
2023-03-13,All Quiet on the Western Front,2022,https://boxd.it/H08,4.5
2023-03-13,Pulp Fiction,1994,https://boxd.it/29Pq,5
2023-03-13,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2023-03-13,Fight Club,1999,https://boxd.it/2a9q,5
2023-03-13,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3
2023-03-13,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2023-03-13,Spirited Away,2001,https://boxd.it/2b4m,4
2023-03-13,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2023-03-13,The Shining,1980,https://boxd.it/29Nu,3.5
2023-03-13,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2023-03-13,Titanic,1997,https://boxd.it/2a2k,3
2023-03-13,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2023-03-13,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2023-03-13,Black Panther,2018,https://boxd.it/8MHs,3.5
2023-03-13,John Wick,2014,https://boxd.it/7dEc,4.5
2023-03-13,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2023-03-13,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3.5
2023-03-13,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4.5
2023-03-13,Up,2009,https://boxd.it/1OEc,4
2023-03-13,WALL·E,2008,https://boxd.it/1VEo,4.5
2023-03-13,Shrek,2001,https://boxd.it/29zi,3.5
2023-03-13,1917,2019,https://boxd.it/jj4y,4
2023-03-13,Soul,2020,https://boxd.it/ioLA,3
2023-03-13,Spider-Man: Homecoming,2017,https://boxd.it/aboM,4
2023-03-13,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2023-03-13,Nightcrawler,2014,https://boxd.it/780m,4
2023-03-13,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2023-03-13,Coraline,2009,https://boxd.it/1NhQ,3.5
2023-03-13,The Avengers,2012,https://boxd.it/1xFW,3.5
2023-03-13,"Monsters, Inc.",2001,https://boxd.it/2a46,3.5
2023-03-13,Iron Man,2008,https://boxd.it/28dA,4.5
2023-03-13,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,4
2023-03-13,Spider-Man,2002,https://boxd.it/2a8i,4
2023-03-13,Finding Nemo,2003,https://boxd.it/72i,4
2023-03-13,It,2017,https://boxd.it/bC8e,3
2023-03-13,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3.5
2023-03-13,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,5
2023-03-13,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4
2023-03-13,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2023-03-13,Batman Begins,2005,https://boxd.it/2aIg,3.5
2023-03-13,Tangled,2010,https://boxd.it/15gO,3
2023-03-13,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
2023-03-13,Spider-Man 2,2004,https://boxd.it/2a88,3.5
2023-03-13,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3.5
2023-03-13,Return of the Jedi,1983,https://boxd.it/27Vm,4
2023-03-13,Your Name.,2016,https://boxd.it/cUqs,5
2023-03-13,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2023-03-13,The Pianist,2002,https://boxd.it/2aqc,4
2023-03-13,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3.5
2023-03-13,Cars,2006,https://boxd.it/29ho,5
2023-03-13,How to Train Your Dragon,2010,https://boxd.it/1WRy,4
2023-03-13,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3
2023-03-13,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3
2023-03-13,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2023-03-13,Black Widow,2021,https://boxd.it/hWV8,2.5
2023-03-13,Captain America: The First Avenger,2011,https://boxd.it/28b0,4
2023-03-13,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,3.5
2023-03-13,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,4
2023-03-13,Home Alone,1990,https://boxd.it/29Fg,3.5
2023-03-13,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,2.5
2023-03-13,Iron Man 2,2010,https://boxd.it/1WZM,3.5
2023-03-13,Iron Man 3,2013,https://boxd.it/2cBQ,3
2023-03-13,The Amazing Spider-Man,2012,https://boxd.it/27PI,4
2023-03-13,Deadpool 2,2018,https://boxd.it/dlLM,4
2023-03-13,Captain Marvel,2019,https://boxd.it/9vSA,2.5
2023-03-13,Free Guy,2021,https://boxd.it/k8dm,3
2023-03-13,Luca,2021,https://boxd.it/ipjC,4.5
2023-03-13,The Lego Movie,2014,https://boxd.it/4pDO,4
2023-03-13,Spider-Man 3,2007,https://boxd.it/2a7Y,3.5
2023-03-13,Incredibles 2,2018,https://boxd.it/7IPg,3
2023-03-13,Suicide Squad,2016,https://boxd.it/9row,2.5
2023-03-13,Ford v Ferrari,2019,https://boxd.it/ce74,3.5
